,x
1,-0.00335
2,-0.00385
3,-0.00405
4,-0.00395
5,-0.00375
6,-0.00355
7,-0.00325
8,-0.00286
9,-0.00256
10,-0.00216
11,-0.00199
12,-0.00156
13,-0.00133
14,-0.00104
15,-0.00078
16,-0.00069
17,-0.00068
18,-0.00063
19,-0.00048
20,-0.00016
21,0.00033
22,0.00097
23,0.00169
24,0.00246
25,0.00327
26,0.00409
27,0.00492
28,0.00574
29,0.00654
30,0.00733
31,0.0081
32,0.00884
33,0.00957
34,0.01026
35,0.01093
36,0.01158
37,0.0122
38,0.0128
39,0.01338
40,0.01393
41,0.01446
42,0.01498
43,0.01547
44,0.01594
45,0.0164
46,0.01683
47,0.01726
48,0.01766
49,0.01805
50,0.01843
51,0.01879
52,0.01914
53,0.01948
54,0.01981
55,0.02012
56,0.02043
57,0.02072
58,0.021
59,0.02128
60,0.02155
61,0.0218
62,0.02205
63,0.0223
64,0.02253
65,0.02276
66,0.02298
67,0.02319
68,0.0234
69,0.02361
70,0.0238
71,0.02399
72,0.02418
73,0.02436
74,0.02454
75,0.02471
76,0.02488
77,0.02504
78,0.0252
79,0.02535
80,0.0255
81,0.02565
82,0.02579
83,0.02593
84,0.02607
85,0.0262
86,0.02634
87,0.02646
88,0.02659
89,0.02671
90,0.02683
91,0.02695
92,0.02706
93,0.02717
94,0.02728
95,0.02739
96,0.02749
97,0.0276
98,0.0277
99,0.02779
100,0.02789
101,0.02799
102,0.02808
103,0.02817
104,0.02826
105,0.02835
106,0.02843
107,0.02852
108,0.0286
109,0.02868
110,0.02876
111,0.02884
112,0.02892
113,0.02899
114,0.02907
115,0.02914
116,0.02921
117,0.02928
118,0.02935
119,0.02942
120,0.02949
121,0.02955
122,0.02962
123,0.02968
124,0.02974
125,0.02981
126,0.02987
127,0.02993
128,0.02999
129,0.03004
130,0.0301
131,0.03016
132,0.03021
133,0.03027
134,0.03032
135,0.03037
136,0.03043
137,0.03048
138,0.03053
139,0.03058
140,0.03063
141,0.03068
142,0.03072
143,0.03077
144,0.03082
145,0.03086
146,0.03091
147,0.03095
148,0.031
149,0.03104
150,0.03108
